tolerance,found,expected,missed
0.001,9,8193,8184
0.0001,11,8193,8182
1e-05,4502,8193,3691
1e-06,7770,8193,423
1e-07,8036,8193,157
1e-08,8056,8193,137
1e-09,8058,8193,135
1e-10,8138,8193,55
1e-11,8192,8193,1
1e-12,8193,8193,0
